Content,Suspicious_Level,ChannelName,ChannelId,MessageId,Date,EditDate
"Объявленные в отношении ВТБ санкции позволяют банку и контрагентам в США постепенно завершить операции, заявил член правления ВТБ.",1,Channel_A,2905871876,15985,2023-01-01 00:00:00,2023-01-03 00:00:00
"Советник главы офиса президента Украины Михаил Подоляк заявил РБК, что Украина не отказывалась от переговоров , но Владимир Зеленский «категорически отказывается от любых неприемлемых условий или ультимативных требований российской стороны». Он не согласился с заявлением Кремля, что в пятницу российские военные приостановили наступление. «Наоборот, именно вчера вечером и в течение всей ночи/утра сегодняшнего дня мы видели только интенсификацию агрессивных действий российской стороны. Считаем эту эскалацию прямолинейной попыткой подтолкнуть Украину к принятию неприемлемых условий», — сказал Подоляк.",1,Channel_B,4698619027,80166,2023-01-02 00:00:00,2023-01-04 00:00:00
"Советник главы Офиса президента Арестович заявил, что в данный момент руководство Украины раздумывает над тем, принимать ли предложение Кремля о переговорах в Минске Дмитрий Песков: пауза в размышлениях Киева о переговорах сопровождается развертыванием систем залпового огня в жилых кварталах, в том числе в Киеве",1,Channel_C,8982396021,45117,2023-01-03 00:00:00,2023-01-05 00:00:00
"Стало известно, почему был нанесен удар по киевской ТЭЦ-6: там работали САУ « Пион »",1,Channel_A,2431123677,16923,2023-01-04 00:00:00,2023-01-06 00:00:00
"А все потому, что шаббат заканчивается в субботу лишь с заходом солнца . И переговоры если и состоятся, то не в Минске, а в Тель-Авиве . И это не шутка, мы писали об этом ранее ?  здесь .",1,Channel_B,3536374004,53849,2023-01-05 00:00:00,2023-01-07 00:00:00
⚡️ Чехия закрыла на Украине посольство в Киеве и генконсульство во Львове — МИД,1,Channel_C,8934500356,22225,2023-01-06 00:00:00,2023-01-08 00:00:00
"Настоящая трагедия, что до этих дней не дожил Тымчук. Не выдержал жизни на Украине и вышиб себе мозги. А ведь мог нам сейчас очень интересно рассказывать про украинские перемоги над ""агрессором"".",1,Channel_A,9737496770,67251,2023-01-07 00:00:00,2023-01-09 00:00:00
"Идут бои в Николаеве. Также есть информация, что там высадился десант российских войск.",1,Channel_B,5544489369,12225,2023-01-08 00:00:00,2023-01-10 00:00:00
"В ДНР заявили, что украинские силовики обстреляли село Лозовое минами калибра 120 мм. @rt_russian",1,,,,,
"Столтенберг верит, что война на Украине не распространится на НАТО, для этого альянс наращивает военное присутствие на востоке.",1,,,,,
Уничтоженная украинская БМП-1 в Сумах.,1,,,,,
"Это до какой степени Украина заколебала всех, что талибы призвали к мирному урегулированию ?",1,,,,,
"Байден заявил, что заявления Швеции и Финляндии относительно возможного вступления в НАТО показывают, как Путин просчитался с ожидаемой реакцией на свое решение о вторжении на Украину",1,,,,,
⚡️ Главы МИД стран ЕС решили включить в списки санкций Путина и Лаврова — глава Евродипломатии Боррель,1,,,,,
Национальный координационный центр по компьютерным инцидентам считает критическим уровень угроз кибератак на российские информационные ресурсы.,1,,,,,
Макрон созывает на 19:00 мск Совет обороны страны по ситуации на Украине. @rt_russian,1,,,,,
⚡️ Основные боестолкновения идут с отрядами националистов — Путин,1,,,,,
"?? ? Врачи Мелитополя оказывают медицинскую помощь своим освободителям. Узнав, что в больницу поступили наши раненые ребята, на работу вышли свободные от дежурства врачи. Большое спасибо вам, родные! ?? #Освобождение Владимир Рогов",1,,,,,
Ракеты над Киевом,1,,,,,
❗️ Премьер Польши поручил подготовить постановление о закрытии воздушного пространства страны для российских авиакомпаний.,1,,,,,
"⚡️ Украинская сторона заявила, что пересматривает идею проведения переговоров с Россией в Минске, выбрала Варшаву, а потом исчезла — Песков",1,,,,,
