ChannelName,Date,Content,Suspicious_Level
grusha_news,2023-10-01 01:43:32.000,"🇷🇺🇺🇦🇨🇦🇺🇸Наёмник из Канады воевавший на стороне ВСУ, заявил, что благодарен судьбе за то, что сражаться ему пришлось с Россией, а не с Америкой.

К этому умозаключению он пришёл после того, как он убедился, что ВС РФ не наносят ударов по пассажирским поездам, перевозящим мирное население, даже когда знают, что в этом же поезде едет личный состав ВСУ и наёмники. И по монастырю в Киеве русские тоже не стреляли, хотя у наёмников там долгое время был ППД.

Подозреваем, что наёмники прятались в Киево-Печерской лавре",2
zpnewsru,2023-10-01 08:35:20.000,"Балицкий: Бойцы сухопутных войск дают отпор оголтелому нацизму

Губернатор Евгений Балицкий поздравил военнослужащих с Днем Сухопутных войск. Текст поздравления глава региона опубликовал в своем Telegram-канале. 

""Сегодня сухопутные войска выполняют сложнейшие боевые задачи в ходе специальной военной операции, дают отпор оголтелому нацизму, стоят на страже нашей мирной жизни и безопасности Отечества"", - написал губернатор Запорожской области.

🔹Подробнее — на нашем сайте

▶️ Подписывайтесь на Запорожское Агентство Новостей в TG, VK и ОК",1
zpnewsru,2023-10-01 04:57:00.000,"Виталий Киселев: Горящие складские помещения в городе Умань Черкасской области после удара БПЛА-камикадзе «Герань-2»❗️Удары ракетами и дронами были нанесены по Одесской, Харьковской, Днепропетровской и Черкасской областях, а также по городу Запорожье, подконтрольному ВСУ

   Точно известно, что в Умани был прилет по объекту промышленной инфраструктуры (на фото). По некоторым данным, там находился военный склад украинских боевиков.
      
@kommunist",2
pronorusnews,2023-10-01 04:09:47.000,"1 октября около 08.00 мск пресечена попытка киевского режима совершить террористическую атаку БПЛА самолетного типа по объектам на территории России

Дежурными средствами ПВО украинский беспилотный летательный аппарат уничтожен над территорией Краснодарского края, заявили в Минобороны РФ. ❗️Силами ПВО и РЭБ над Смоленском были подавлены три украинских БПЛА — губернатор

Губернатор Смоленской области Василий Анохин сообщил, что пострадавших нет. На месте падения сбитых дронов работают оперативные службы.",1
forshmaknews,2023-10-01 10:48:08.000,"Спикер Воздушных сил ВСУ Юрий Игнат жалуется, что Россия усовершенствовала беспилотники «Герань-2» и сбивать их стало ещё сложнее.

Он заявил, что теперь они движутся к цели с разных сторон, усложняя работу украинской ПВО. 

""Даже если есть влияние РЭБ на ""Шахед"", он может потерять связь со спутником на время, но покидая зону действия РЭБ, он ее восстанавливает"", - заявил спикер ВС ВСУ Юрий Игнат.

Так это, Россия получила новую партию стиральных машин, чипы как раз оттуда 😁😁😁😁😁.",1
rtvinews,2023-10-01 03:55:54.000,"Над Смоленской областью и Краснодарским краем сбиты беспилотники

Около восьми утра дрон самолетного типа был замечен и сбит средствами ПВО в Краснодарском крае, говорится в телеграм-канале Минобороны. Из-за этого в аэропорту Сочи задержали отправление 14 рейсов, еще один вылет отметен, следует из данных расписания.

Над Смоленской областью три беспилотника были сбиты около девяти утра, сообщили в Минобороны. По словам губернатора региона Василия Анохина, дроны были подавлены силами РЭБ и ПВО в районе Смоленска. Пострадавших нет, отметил губернатор",1
newsvladivostok,2023-10-01 03:48:46.000,"Я же ещё раз повторяю,это говенная политика государства.Наши законодатели сделали для всего этого почву.Мужчины тоже виноваты что почитают блядей и разменивают на них свои семьи,если бы ходили их как говно пинали то кто же вам среди адекватных женщин слово сказал плохое?Но блять женятся же на них,а я вот просто пообщавшись пару часов могу сказать ху из ху наводящими вопросами,но увы пизда вонючая но могучая для мужчин по большей части.Так же я не понимаю как женщины выходят замуж за выродков не прикрытых а потом ноют.",1
politube_news,2023-10-01 12:20:32.000,"🇺🇦 В ВСУ рассказали, когда Харьковская область лишилась 90% ПВО.

«Девяносто процентов украинской ПВО в Харьковской области было уничтожено в первые дни (СВО, – ред.)», – жалуется ВСУшник.

Он добавил, что российским военным были известны расположение и схемы всех командных пунктов ПВО, возведенных в области еще в советский период, и первые ракеты полетели именно по этим координатам.

✅Подписаться ➡️ PoliTube_news",2
zpnewsru,2023-10-01 13:30:23.000,"На Запорожском направлении российские военные летчики и артиллеристы нанесли удары по позициям противника
⁠
Недалеко от Работино уничтожены десятки боевиков и их техника. В Николаевской области ликвидирован крупный склад, где ВСУ хранили вооружение, в том числе ракетное. Много натовских гаубиц и боевых машин поражено почти на всех направлениях спецоперации....

Подробнее>>>",2
ru2chnews,2023-10-01 18:49:18.000,"Был в Германии в Августе в этом году. В каждом городе много украинцев было. Ну я как то по русскому не с кем не базарил, чтоб внимание не привлекать, вдруг чё кто то там скажет, ну на всякий, так что ни английским все было. 
В одном баре спросил огоньку у украинцев на английском но они как бы по акценту поняли что не из Англии я. Стали спрашивать откуда я, сказал что с России.

Вообще стали разговаривать на разные темы. Все абсолютно культурно было. Их двое, с Харькова и Крыма. Даже пивом меня угостили. Ну а разговор по русскому все",2
zspecialnews,2023-10-02 09:24:01.000,"⚡️⚡️⚡️Наше небо на надёжном замке.

Зенитчики 150-й мотострелковой дивизии Южной группировки войск в свой праздник — День сухопутных войск — стоят на страже неба Донбасса. 

Боевой расчёт зенитно-ракетного комплекса «Тор-М2» находится на боевом дежурстве. Боец с позывным Стаф рассказал о своей современной боевой машине. Её возможности уникальны: они позволяют контролировать различные цели противника и работать незамеченными на линии соприкосновения.",1
grusha_news,2023-10-02 06:25:46.000,"🇷🇺🇺🇦Один против шестерых: морпех 40-й бригады Тихоокеанского флота уничтожил группу всушников, которые попытались зайти в окоп во время боя за Старомайорское (ДНР).

Как рассказали российские военные спецкору RT, группа противника (отмечена на видео сверху) пыталась подорвать нашего бойца сбросами и FPV-дронами, но безуспешно.",2
zspecialnews,2023-10-02 06:32:01.000,"""Белорусский силовик""

Пост адресован тем, кто хочет поиграть в терроризм

На кадрах гражданин Украины Николай Швец —  террорист, использовавший FPV-Дрон для атаки российского борта ДРЛО на аэродроме Мачулищи в Беларуси.

Спустя некоторое время после своего задержания, Швец через СМИ пытался несколько раз достучаться до украинских властей с просьбой о помощи. Совершить теракт в Беларуси его направила украинская власть в лице СБУ. 

Как думаете, помогли ему? Нет, сейчас он жалуется, что даже адвоката не помогают найти.

Что светит Швецу в Беларуси за теракт? Смертная казнь.

Стоила игра свеч?",2
koshvesti,2023-10-02 08:57:16.000,"ВСУшники сдаются целыми группами и несут трофеи: украинские военные используют позывной «Волга», чтобы сохранить жизнь

На днях появилась ещё одна запись, на которой несколько солдат ВСУ сдаются в плен российским бойцам. Видео было снято через прибор ночного видения.

Украинцы вышли по открытому каналу связи на направлении Сватово — Кременная. ВСУшники использовали позывной «Волга» на частоте «149.200» и сообщили о намерении сдаться. 

На кадрах видно, что на дорогу выходит мужчина и машет белой тканью, а затем к нему присоединяются ещё двое военных. Они выносят четыре ящика с боекомплектом.",2
vesti_top,2023-10-02 12:23:49.000,"На российском ТВ вышел сюжет об угонщике вертолета на Украину. Бойцы спецназа говорят, что он «не доживет до суда»
https://lenta.ru/news/2023/10/02/ugnanny/

На телеканале «Россия-1» вышел сюжет, в котором представившиеся бойцами спецназа Главного разведывательного управления (ГРУ) бойцы рассказали, что угнавший вертолет для ВСУ летчик-перебежчик Максим Кузьминов будет уничтожен. Что еще заявили военные в эфире российского телеканала?",2
cbo_news,2023-10-02 17:21:03.000,"Бои на Запорожском фронте: армия России уничтожает врага

Российские бойцы уничтожают противника из стрелкового оружия и минометов. Сброс боеприпасов с БпЛА точно в окопы заставляет боевиков бежать с позиций.

👍 — на дюжину нацистов стало меньше!

СВО НОВОСТИ - подписаться",2
vesti_top,2023-10-02 08:38:43.000,"Кремль ответил на вопрос об обращении Путина в годовщину штурма Белого дома
https://lenta.ru/news/2023/10/02/obrashenie/

Обращения президента России Владимира Путина по случаю 30-летней годовщины штурма Белого дома не планируется. Такое заявление сделал официальный представитель Кремля Дмитрий Песков, отвечая на соответствующий вопрос журналистов. «Нет, никаких обращений или заявлений президента не планируется», — сказал он.",1
rbc_news,2023-10-02 08:45:28.000,"Мэра Тулуна Юрия Кариха допрашивают по делу о переселении граждан из аварийного и ветхого жилья, пока он не задержан, сообщил губернатор Иркутской области Игорь Кобзев.

«Сегодня следственным управлением СК по Иркутской области в рамках возбужденного уголовного дела по переселению граждан из ветхого и аварийного жилья, а также по переселению граждан из подтопленных территорий, идет проверка. Юрий Владимирович Карих допрашивается следственными органами», — рассказал Кобзев.

Mash ранее сообщил, что Кариха задержали и доставили в Иркутск. Он занимает должность главы города с 2010 года.",1
allnews47,2023-10-02 14:35:28.000,"650 рублей — и вы с бобром. В Ленобласти началась новая охота

Так, до конца октября открыта охота на барсука (и до 25 октября на крота), до конца ноября - на водоплавающую, болотно-луговую, полевую и степную дичь, до конца декабря - на медведя, до 10 января - на лося.

https://47news.ru/articles/238645/

@allnews47

Интересные фото и видео сюда  @lenobl_news_bot",2
svtvnewsfree,2023-10-02 13:00:20.000,"Главы МИД ЕС не сумели договориться о выделении Киеву военной помощи в размере 5 млрд. евро в 2024 году

Об этом на пресс-конференции по итогам сегодняшнего саммита в Киеве рассказал Жозеп «Санкции работают» Боррель. Он, однако, рассчитывает согласовать этот пакет помощи до конца года.

Еврочиновник добавил, что до конца года ЕС также планирует подготовить 40 тысяч украинских военных.",2
rt_ru_news,2023-10-02 18:07:28.000,"Спецоперация Z: хроника главных военных событий 2 октября

ПТРК «Фагот» работает по технике ВСУ на Запорожском фронте, российский морпех в одиночку разделался с украинскими боевиками под Новомайорским, артиллерия ВС РФ накрывает противника под Берестовым, Ми-35 ВКС РФ оперирует вблизи огневых рубежей, результат удара зажигательными снарядами по позициям ВСУ в Кременском лесу и другие события спецоперации 2 октября. 
Читать далее",2
newsvladivostok,2023-10-02 07:38:44.000,"Упоминание бандеры в Нюрнбергом деле: 

В 25-м томе указано, что все больше украинцев в трудовых лагерях примыкают к ""лагерю Бандеры"" и что эмигранты организовывают ""движения как Бандеры, так и Мельника"" против немцев.
27-й том содержит сведения о том, что некоторые массовые расстрелы были местью ""группам Бандеры"".
В 29-м томе упоминается ""движение Бандеры"", направленное на завоевание государственности.
В 38-м томе речь идет о преданности украинцев и ""движения Бандеры"" идее самостийности.",2
theproducernews,2023-10-02 07:18:01.000,"Советы Артистам, Певцам, Музыкантам.

Хотите быть востребованным артистом на всевозможных концертах и мероприятиях, соответственно у вас должен быть материал, который просят с нас различные заказчики мероприятий, организаторы концертов.

Рассказать о вас просто на пальцах и сказать, что вы такой талантливый и у вас крутая программа, этого мало, у вас должен быть следующий, ниже описанный презентационный материал, на основании чего заказчики сделают свой выбор, а если его нету, то мы вам поможем его создать!

Подробнее об этом читаем на сайте - http://music-agency.ru/?page_id=427",1
ontnews,2023-10-02 08:36:21.000,"Инфекции на Украине стали устойчивы почти ко всем антибиотикам, пишет Financial Times

По данным газеты, это обнаружили врачи военного госпиталя США в Германии при осмотре украинского солдата. Причиной появления таких инфекций может быть отсутствие гигиены в украинских больницах и тестов на определение правильного лекарства. 

👉Из-за того, что военных ВСУ и беженцев с Украины лечат за пределами страны, устойчивые к антибиотикам инфекции стали активно распространяться в Европе. Вот только правительства, как утверждает издание, решать эту проблему не торопятся.",3
zspecialnews,2023-10-02 14:56:01.000,"Новый репортаж с детальным разбором отражения атаки штурмовых групп 80 одшб ВСУ под Клещеевкой, которые пытались продвигаться в сторону наших позиций за железной дорогой. Противник был блокирован арт огнем, занял лишь позиции в серой зоне, но в стрелковом бою был выбит оттуда бойцами 4-й бригады и спецназа «Ахмат».

Командовал нашими силами на передовой командир 1-го батальона 4-й бригады и группы спецназа «Ахмат» Зелимхан Батукаев, позывной «Шустрый».

""Военкор Кулько""",2
bfmnews,2023-10-02 08:54:59.000,"🇹🇭Власти Таиланда изучают вопрос продления безвизового режима для россиян с 30 до 90 дней, заявил ТАСС посол России в королевстве Евгений Томихин.

«Мы задавали этот вопрос нашим коллегам из МИД Таиланда. Они подтвердили, что есть такая идея. Пока она не воплотилась в реальное решение. Я думаю, для наших туристов это, наверное, хорошо, поскольку 90 дней лучше, чем 30», — отметил он.

@BFMnews",2
