ChannelName,Date,Content,Suspicious_Level
zpnewsru,2023-10-01 09:07:22.000,"Балицкий поздравил военнослужащих с Днем сухопутных войск РФ

День сухопутных войск РФ ежегодно отмечается 1 октября. Это самый масштабный вид войск в составе Вооруженных сил России

Балицкий отметил, что во все времена представители сухопутных войск одерживали блестящие победы и совершали ратные подвиги

Подписаться на @zap_kpru",1
zpnewsru,2023-10-01 08:35:20.000,"Балицкий: Бойцы сухопутных войск дают отпор оголтелому нацизму

Губернатор Евгений Балицкий поздравил военнослужащих с Днем Сухопутных войск. Текст поздравления глава региона опубликовал в своем Telegram-канале. 

""Сегодня сухопутные войска выполняют сложнейшие боевые задачи в ходе специальной военной операции, дают отпор оголтелому нацизму, стоят на страже нашей мирной жизни и безопасности Отечества"", - написал губернатор Запорожской области.

🔹Подробнее — на нашем сайте

▶️ Подписывайтесь на Запорожское Агентство Новостей в TG, VK и ОК",1
crossnews_ru,2023-10-01 07:15:12.000,"Великое национальное собрание (парламент) Турции возобновит свою работу после попытки теракта в центре Анкары, президент страны Реджеп Тайип Эрдоган выступит с посланием, сообщил гостелеканал TRT Haber. 

Глава МВД Турции Али Ерликая в воскресенье сообщил о попытке теракта возле здания министерства в центре Анкары, один террорист подорвал себя, другой нейтрализован. В ходе перестрелки двое сотрудников полиции получили легкие ранения.


Источник -  Раньше всех. Ну почти. (@bbbreaking)",1
vesticrimea,2023-10-01 07:44:07.000,"❗️ Над Джанкоем сбили ракету, сообщил глава Крыма Сергей Аксёнов. 

«Осколками повреждены складские помещения. Жертв и пострадавших нет. Глава администрации города Игорь Ивин находится на месте и лично докладывает по ситуации», — говорится в сообщении.

Советник главы РК Олег Крючков сообщил, что это была С-200 (согласно предварительным данным).

@vesticrimea",1
rt_ru_news,2023-10-01 09:43:13.000,"Эрдоган назвал взрыв около здания МВД Турции «последними вздохами террористов»

Президент Турции Реджеп Тайип Эрдоган назвал попытку теракта в центре Анкары, в ходе которой произошёл взрыв возле здания МВД Турции, «последними вздохами террористов». 
Читать далее",1
rtvinews,2023-10-01 03:55:54.000,"Над Смоленской областью и Краснодарским краем сбиты беспилотники

Около восьми утра дрон самолетного типа был замечен и сбит средствами ПВО в Краснодарском крае, говорится в телеграм-канале Минобороны. Из-за этого в аэропорту Сочи задержали отправление 14 рейсов, еще один вылет отметен, следует из данных расписания.

Над Смоленской областью три беспилотника были сбиты около девяти утра, сообщили в Минобороны. По словам губернатора региона Василия Анохина, дроны были подавлены силами РЭБ и ПВО в районе Смоленска. Пострадавших нет, отметил губернатор",1
anna_news,2023-10-01 14:34:24.000,"Украинские боевики выпустили 83 боеприпаса по ДНР за сутки

Сегодня по территории Республики противник выпустил 83 боеприпаса с применением ствольной артиллерии калибром 152 и 155 мм, сообщил глава ДНР Денис Пушилин.

В результате в Верхнеторецком Ясиноватского района осколочное ранение в ногу получила женщина 1958 г.р.

Повреждены десять жилых домов в Центрально-Городском районе Горловки и Еленовке.

Также ВФУ обстреляли трубопровод канала «Северский Донец – Донбасс» и территорию фильтровальной станции №2 в Горловке.

@anna_news",1
octgnews,2023-10-01 07:52:54.000,"❗️Российские силы ПВО сбили ракету над Джанкоем – глава Крыма

Осколками повреждены складские помещения. Погибших и пострадавших нет, сообщил в телеграм-канале глава Крыма Сергей Аксенов.

В Минобороны РФ уточнили, что около 13.00 мск были обнаружены и перехвачены в воздухе 2 оперативно-тактические ракеты «Гром-2». Обломки упали в Джанкойском районе Крыма.

22 сентября ВСУ нанесли удар по штабу Черноморского флота в Севастополе.

Подписаться на O!News",1
crimeanewscom,2023-10-01 07:43:02.000,"Сергей Аксёнов: Над Джанкоем силами ПВО сбита ракета. Осколками повреждены складские помещения. Жертв и пострадавших нет. Глава администрации города Игорь Викторович Ивин находится на месте и лично докладывает по ситуации.

Прошу соблюдать спокойствие и доверять только официальным источникам информации.
   
@Aksenov82",1
rt_ru_news,2023-10-01 16:27:28.000,"Собака и кот «поселились» на позициях военных медиков на Запорожском направлении

Собака прибилась к подразделению российских медиков на Запорожском направлении и с тех пор участвует в штурмах окопов ВСУ, рассказали RT военные врачи. 
Читать далее",2
zpnewsru,2023-10-01 13:30:23.000,"На Запорожском направлении российские военные летчики и артиллеристы нанесли удары по позициям противника
⁠
Недалеко от Работино уничтожены десятки боевиков и их техника. В Николаевской области ликвидирован крупный склад, где ВСУ хранили вооружение, в том числе ракетное. Много натовских гаубиц и боевых машин поражено почти на всех направлениях спецоперации....

Подробнее>>>",2
zspecialnews,2023-10-02 11:34:01.000,"⚡️ Украинские террористы снова обстреляли мирных жителей Донецка 

Последствия обстрела украинскими террористами Жилплощадки в Петровском районе Донецка

12:30 - н.п. Кураховка - г. Донецк (Петровский район): выпущено 2 снаряда калибром 155 мм.
12.35 - Жилплощадка на западе Петровского района Донецка также подверглась обстрелу. Фиксируется сильное задымление после прилетов.",1
kherson_news_info,2023-10-02 03:26:27.000,"В результате обстрела украинскими боевиками в Новой Каховке погиб мужчина 

Вчера вечером в результате очередного обстрела с правого берега на ул.Кирова погиб мужчина 1964 года рождения.
Мужчина погиб в собственном доме, удар по которому нанесли украинские националисты.

Ночью украинские террористы в очередной раз наносили артиллерийско-минометные удары по Новой Каховке и населенным пунктам городского округа. Варварские удары украинские националисты традиционно наносили по домам мирных жителей и гражданской инфраструктуре.",1
cbo_news,2023-10-02 17:21:03.000,"Бои на Запорожском фронте: армия России уничтожает врага

Российские бойцы уничтожают противника из стрелкового оружия и минометов. Сброс боеприпасов с БпЛА точно в окопы заставляет боевиков бежать с позиций.

👍 — на дюжину нацистов стало меньше!

СВО НОВОСТИ - подписаться",2
crossnews_ru,2023-10-02 18:47:30.000,"⚡️Российские средства ПВО сбили украинский беспилотник над Брянской областью

""Беспилотный летательный аппарат самолетного типа уничтожен над Трубчевским районом силами ПВО Министерства обороны РФ"", - сообщил губернатор региона Александр Богомаз.

По его словам, пострадавших и разрушений нет. На месте работают оперативные службы.

@interfaxonline


Источник -  Интерфакс (@interfaxonline)",1
newskry,2023-10-02 05:48:05.000,"Рассказали истории с фронта и о боевой экипировке: в Алуште прошел урок с ветеранами СВО

В Алуште для школьников урок провели ветераны специальной военной операции. Об этом сообщает «Крым 24».

Ветераны спецоперации и опытные инструкторы устроили для школьников урок начальной военной подготовки. Мероприятие прошло в Алуштинской общеобразовательной школы №2.

Школьникам рассказали о боевой экипировке и ее использовании, первой помощи и условиях, в которых были бойцы. Кроме того, военные рассказали истории с фронта и поблагодарили ребят за их поддержку и письма.",1
newskry,2023-10-02 08:28:04.000,"Закрыт на 9 часов: Крымский мост временно перекроют

Крымский мост временно перекроют. Об этом сообщает телеграм-канал «Крымский мост: оперативная информация».

В понедельник, 2 октября, по Крымскому мосту временно перекроют движение автомобилей. Ограничение введут на автомобильных подходах к мосту.

С 21:00 транспортный переход будет полностью закрыт для машин. Данное решение связано с проведением восстановительных работ. Движение планируют восстановить в 6:00 3 октября.

Автомобилистов просят заранее планировать свои поездки и следить за поступающий информацией.",1
zspecialnews,2023-10-02 13:24:01.000,"💥Кадры уничтожения боевиков ВСУ в Запорожской области

Огнем из стрелкового оружия и минометов российские бойцы уничтожают украинских боевиков, а сброс боеприпасов с БПЛА точно в окопы и укрытия заставляет противника бежать с позиций.

""Zvezdanews""",2
